
```
| 250 | تحالف البديل | 52 | تحالف | بغداد | ذكر | صباح غني محمود احمد المشهداني | 3579 |
| 250 | تحالف البديل | 53 | تحالف | بغداد | ذكر | خالد جمال دلي جواد | 3580 |
| 250 | تحالف البديل | 54 | تحالف | بغداد | انثى | سرى ضياء غضبان حسن المياحي | 3581 |
| 250 | تحالف البديل | 55 | تحالف | بغداد | ذكر | رائد شاكر محيسن عطروز الدليمي | 3582 |
| 250 | تحالف البديل | 57 | تحالف | بغداد | ذكر | رياض عبدالله لفته جبارة اللامي | 3583 |
| 250 | تحالف البديل | 58 | تحالف | بغداد | انثى | وسن علاء الدين حسن قاسم الفرغولي | 3584 |
| 250 | تحالف البديل | 59 | تحالف | بغداد | ذكر | خالد عزيز رحيم وسمي الدليمي | 3585 |
| 250 | تحالف البديل | 60 | تحالف | بغداد | انثى | جنان كاظم جلود عامر الشمري | 3586 |
| 250 | تحالف البديل | 61 | تحالف | بغداد | ذكر | وائل حماد ابراهيم مهنا الزوبعي | 3587 |
| 250 | تحالف البديل | 62 | تحالف | بغداد | ذكر | احمد موفق عبدالستار عبدالحميد العزاوي | 3588 |
| 250 | تحالف البديل | 63 | تحالف | بغداد | ذكر | ماهر ثامر شاوي كامل الجابري | 3589 |
| 250 | تحالف البديل | 64 | تحالف | بغداد | انثى | سارة فاضل حميد عبود ال حمود | 3590 |
| 250 | تحالف البديل | 65 | تحالف | بغداد | انثى | ختام محمد جبر بريج المعموري | 3591 |
| 250 | تحالف البديل | 66 | تحالف | بغداد | ذكر | عمر معتز عبدالكريم مصطفى الجبوري | 3592 |
| 250 | تحالف البديل | 67 | تحالف | بغداد | ذكر | مازن محمود مثنى مشيت البهادلي | 3593 |
| 250 | تحالف البديل | 68 | تحالف | بغداد | انثى | انتصار عبدالمحسن كاظم طاهر السوداني | 3594 |
| 250 | تحالف البديل | 69 | تحالف | بغداد | ذكر | عماد كاظم محمد علي حسن الهاشمي | 3595 |
| 250 | تحالف البديل | 70 | تحالف | بغداد | انثى | ايناس نصير شدهان عباس الفتلاوي | 3596 |
| 250 | تحالف البديل | 71 | تحالف | بغداد | ذكر | محمد فائق جمعة محمد القريشي | 3597 |
| 250 | تحالف البديل | 72 | تحالف | بغداد | ذكر | طالب محيسن صحن بدري الساعدي | 3598 |
| 250 | تحالف البديل | 73 | تحالف | بغداد | ذكر | رعد عبدالرضا عاصي يوسف شمر | 3599 |
| 250 | تحالف البديل | 74 | تحالف | بغداد | انثى | صبا علي كريم مفتاح الكعبي | 3600 |
| 250 | تحالف البديل | 75 | تحالف | بغداد | ذكر | علي ابراهيم مرحب نبيت الاسدي | 3601 |
| 250 | تحالف البديل | 76 | تحالف | بغداد | انثى | غفران علي عبدالواحد عزيز الشويلي | 3602 |
| 250 | تحالف البديل | 77 | تحالف | بغداد | انثى | بشرى محمود نصيف جاسم العتابي | 3603 |
| 250 | تحالف البديل | 78 | تحالف | بغداد | ذكر | عدي عباس عبدالغني مهدي الحسني | 3604 |
| 250 | تحالف البديل | 79 | تحالف | بغداد | انثى | عرويه تركي سويف منجل كلابي | 3605 |
| 250 | تحالف البديل | 80 | تحالف | بغداد | انثى | كريمه محمد شرهان سلمان سواعد | 3606 |
| 250 | تحالف البديل | 81 | تحالف | بغداد | ذكر | علي سعدي فهد رزيج ابو ريشة | 3607 |
| 250 | تحالف البديل | 82 | تحالف | بغداد | انثى | عذراء فتر عمران دلف المرسومي | 3608 |
| 250 | تحالف البديل | 83 | تحالف | بغداد | ذكر | غالب شهيب كاغد حرير الحريز | 3609 |
| 250 | تحالف البديل | 84 | تحالف | بغداد | ذكر | حيدر فيصل عبدالوهاب باقر فخر الدين | 3610 |
| 250 | تحالف البديل | 85 | تحالف | بغداد | انثى | سحر سمير صاحب حسن عابدين | 3611 |
```

